,calories,protein,fat,sodium,rating
545,202.0,7.0,16.0,187.0,4.375
546,497.0,42.0,25.0,1060.0,5.0
548,209.0,1.0,0.0,13.0,4.375
549,173.0,1.0,0.0,3.0,0.0
550,586.0,32.0,32.0,1585.0,4.375
551,762.0,7.0,76.0,522.0,4.375
552,429.0,5.0,20.0,116.0,4.375
553,118.0,3.0,3.0,105.0,3.75
557,537.0,20.0,10.0,246.0,4.375
558,442.0,37.0,21.0,561.0,3.125
560,180.0,3.0,8.0,21.0,4.375
562,115.0,1.0,11.0,74.0,4.375
567,435.0,9.0,32.0,1664.0,0.0
568,506.0,38.0,37.0,231.0,3.75
570,247.0,4.0,14.0,113.0,4.375
571,547.0,22.0,34.0,284.0,3.75
572,653.0,21.0,42.0,501.0,3.75
573,590.0,7.0,37.0,315.0,4.375
574,310.0,4.0,13.0,132.0,4.375
575,441.0,11.0,43.0,706.0,3.75
576,270.0,4.0,0.0,57.0,0.0
578,523.0,10.0,30.0,192.0,4.375
580,168.0,8.0,6.0,222.0,3.75
581,398.0,40.0,21.0,155.0,3.75
583,353.0,14.0,26.0,260.0,4.375
584,855.0,17.0,70.0,827.0,4.375
585,180.0,3.0,12.0,42.0,4.375
586,865.0,43.0,52.0,1568.0,3.75
587,144.0,4.0,8.0,165.0,3.125
588,115.0,1.0,11.0,11.0,3.75
590,114.0,2.0,4.0,103.0,3.75
591,220.0,4.0,1.0,8.0,3.75
592,586.0,16.0,22.0,954.0,3.125
593,437.0,9.0,29.0,620.0,4.375
594,290.0,3.0,15.0,21.0,5.0
595,265.0,12.0,24.0,721.0,2.5
596,818.0,97.0,33.0,11919.0,4.375
597,640.0,12.0,25.0,170.0,3.75
598,334.0,18.0,12.0,1645.0,4.375
599,153.0,1.0,3.0,149.0,4.375
600,261.0,3.0,15.0,119.0,3.75
601,194.0,2.0,3.0,697.0,3.75
602,1080.0,55.0,59.0,1168.0,3.75
603,513.0,1.0,55.0,453.0,4.375
605,282.0,1.0,27.0,3.0,3.75
606,230.0,2.0,1.0,8.0,4.375
609,495.0,30.0,38.0,421.0,4.375
610,260.0,22.0,14.0,153.0,3.75
612,227.0,4.0,22.0,19.0,3.125
613,1847.0,66.0,93.0,884.0,4.375
614,508.0,11.0,24.0,156.0,3.75
616,445.0,24.0,38.0,662.0,3.75
617,588.0,66.0,28.0,350.0,4.375
618,290.0,34.0,12.0,157.0,4.375
619,864.0,35.0,68.0,202.0,4.375
620,337.0,8.0,28.0,302.0,5.0
622,837.0,104.0,39.0,2198.0,5.0
624,144.0,4.0,10.0,541.0,4.375
625,299.0,10.0,14.0,735.0,4.375
626,557.0,29.0,18.0,511.0,3.75
627,169.0,4.0,9.0,990.0,3.75
632,661.0,21.0,25.0,979.0,3.75
635,1405.0,55.0,87.0,1336.0,5.0
636,433.0,13.0,30.0,601.0,4.375
638,382.0,4.0,20.0,29.0,3.75
644,364.0,19.0,27.0,318.0,4.375
645,485.0,41.0,29.0,120.0,3.75
646,819.0,46.0,49.0,1331.0,3.75
647,189.0,8.0,1.0,99.0,3.75
648,156.0,1.0,3.0,39.0,1.25
652,229.0,9.0,20.0,237.0,3.75
654,652.0,8.0,36.0,365.0,3.125
655,219.0,6.0,16.0,129.0,3.125
656,349.0,3.0,28.0,43.0,4.375
657,205.0,8.0,7.0,348.0,4.375
658,158.0,4.0,10.0,171.0,3.75
659,129.0,18.0,4.0,505.0,0.0
661,128.0,1.0,14.0,120.0,3.75
662,149.0,3.0,5.0,634.0,2.5
663,803.0,58.0,53.0,272.0,3.75
664,688.0,3.0,1.0,18.0,5.0
665,213.0,3.0,8.0,612.0,5.0
666,870.0,26.0,51.0,1989.0,1.25
667,1919.0,29.0,123.0,610.0,5.0
669,270.0,2.0,22.0,113.0,4.375
670,1534.0,73.0,115.0,1458.0,3.75
